column,Row Order,O-BEE MANFRED JUSTICE,JOCKO BESN,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,TO-MAR BLACKSTAR ET,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,ELITE MOUNTAIN DONOR IMP (E_T),MADAWASKA AEROSTAR,Q250 BESNE BUCK,OSDEL-ENDEAVOR BOVA CUBBY,SINGING-BROOK N-B MASCOT ET,BIS-MAY S-E-L MOUNTAIN ET,MAUGHLIN STORM,HANOVERHILL STARBUCK,MARA-THON BW MARSHALL,SHOREMAR JAMES,A RONNYBROOK PRELUDE ET,SOUTHWIND BELL OF BAR-LEE,LADINO PARK TALENT-IMP-ET,ELITE GOLD BULLION-IMP-ET,GIBBON,HILL VALLEY BASAR ACME,MJR BLACKSTAR EMORY-ET,MAIZEFIELD BELLWOOD - (E_T_),BASAR,WALKWAY CHIEF MARK,LEKKER VALIANT ROYALTY,STARTMORE RUDOLPH,NORRIELAKE CLEITUS LUKE TWIN,BIS-MAY TRADITION CLEITUS,A MARK CJ GILBROOK GRAND ET,CARLIN-M IVANHOE BELL,RAMOS,ETAZON ADDISON,AG-HIGH SIGHTS BS INGOT-ET,DIXIE-LEE AARON -ET,ETAZON CELSIUS,WHITTIER-FARMS NED BOY,SHEN-VAL NV LM FORMATION-ET,FATAL,HOW-EL-ACRES K BELLMAN ET,BELT,ROTHROCK TRADITION LEADMAN,ROCKALLI SON OF BOVA,TESK-HOLM VALIANT ROCKIE,SHOREMAR PERFECT STAR (ET),EMERALD-ACRES-SA TONIC ET,CAL-CLARK BOARD CHAIRMAN
INDIJKS BABYLON - 29HO12470,14,1,0,0.33586073,0,0,0,0,0.116545864,0,0,0,0.088961597,0,0.186202587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029653454,0,0,0,0,0.017929888,0,0.099310177,0,0,0,0,0,0,0,0,0,0.006896111,0.005516889,0,0,0
PETHERTON DENSITY - 0200HO02700,15,0.966896549,0,0.327584868,0,0,0.209655191,0,0.113787243,0,0,0,0.086892587,0,0,0.075860928,0,0,0.052412915,0,0,0,0,0,0,0,0,0,0,0,0,0.02551667,0,0.011033778,0,0,0,0,0.013793105,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,16,0.966896549,0,0.327584868,0,0,0.209655191,0,0.113787243,0,0,0,0.086892587,0,0,0.075860928,0,0,0.052412915,0,0,0,0,0,0,0,0,0,0,0,0,0.02551667,0,0.011033778,0,0,0,0,0.013793105,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,17,0.966896549,0,0.327584868,0,0,0,0,0.113787243,0,0.09379011,0,0.086892587,0,0,0,0.048963624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02965469,0,0,0,0,0.05793104,0,0,0,0,0.028963666,0,0,0,0,0,0,0,0,0,0
LEOTHE DEXTERMAN - 0200HO06353,18,0.966896549,0,0.327584868,0,0,0,0.137240906,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0.060689307,0,0,0,0,0,0.02551667,0,0,0,0,0,0,0.013793105,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,19,0,0.747585743,0,0,0.184131282,0,0,0,0,0,0.184824425,0,0,0,0,0.048963624,0,0,0,0.059308143,0,0.317931018,0.037930729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07930916,0,0,0,0,0,0.019309464,0,0,0,0,0,0,0
CURRAJUGLE GONZO - GONZO,20,0.966896549,0,0.327584868,0,0.184131282,0,0,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VISSTEIN ALTADISCUS - 011HO10831,21,0.966896549,0,0.327584868,0,0.184131282,0,0,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIR-RIDGE PLANET PLUTO - 14H6239,22,0.966896549,0,0.327584868,0,0.184131282,0,0,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,23,1,0,0.33586073,0,0,0,0,0.115856253,0,0,0,0.088961597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017929888,0,0,0,0,0,0,0,0,0,0,0.035170696,0.006896111,0.005516889,0,0,0
DELTA G-FORCE - CRVGFORCE,24,0.966896549,0,0.327584868,0,0,0,0,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02551667,0,0,0,0,0,0,0.013793105,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU FREDDIE GALAXY - ET - CRGALAXY,25,0.966896549,0,0.327584868,0,0,0,0,0.113787243,0,0,0,0.086892587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR REGELCREEK SHOT AL - 7H10176,26,0,0,0,0.59034488,0.184131282,0.209655191,0.147585779,0,0,0.09379011,0,0,0,0,0.075860928,0.049653235,0,0.052412915,0.03792914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011033778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA FLASHBACK - FLASHBACK,27,0,0,0,0.59034488,0.184131282,0.209655191,0.147585779,0,0,0.09379011,0,0,0,0,0.075860928,0.049653235,0,0.052412915,0.03792914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011033778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,28,0,0,0,0,0,0.242758642,0,0,0.504827454,0.092410712,0,0,0.199993397,0.186202587,0.077929938,0,0,0.060688778,0,0,0,0,0,0,0,0,0,0.037239352,0.029653454,0,0,0,0.013102787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG ROUFECTOR - ROUFECTOR,29,0,0.747585743,0,0,0,0,0,0,0,0.091721101,0.184824425,0,0,0,0.077929938,0.048963624,0,0,0,0.059308143,0.17655174,0,0.037930729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
